id;modelo;preco
1;Fiat Strada;43115
2;Fiat Argo;47660
3;Fiat Mobi;32102
4;Jeep Compass;34950
5;Hyundai HB20;49302
6;JeepRenegade;36661
7;Volkswagen T-Cross;38182
8;Fiat Toro;57733
9;Hyundai Creta;55998
10;Chevrolet S10;51035
11;Toyota Corolla Cross;34544
12;Toyota Hilux;53937
13;Toyota Corolla;55022
14;Volkswagen Gol;48253
15;Honda HR-V;53438
16;Renault Kwid;31810
17;Volkswagen Nivus;35104
18;Hyundai HB20S;31855
19;FordRanger;48927
20;Fiat Uno;38111
21;Fiat Cronos;36515
22;Citro?n C4 Cactus;53654
23;Toyota Yaris Hatchback;55869
24;Volkswagen Voyage;30954
25;Honda Civic;30871
26;Volkswagen Saveiro;32306
27;Caoa Chery Tiggo 5x;30069
28;Volkswagen Virtus;40689
29;Fiat Grand Siena;33469
30;Caoa Chery Tiggo 8;48481
31;Chevrolet Tracker;30648
32;Peugeot 208;46934
33;Toyota SW4;54252
34;Nissan Frontier;32596
35;Honda WR-V;35139
36;Volkswagen Taos;47546
37;Mitsubishi L200;57049
38;Renault Oroch;48756
39;Toyota Yaris Sedan;43077
40;Renault Duster;52641
